Year,Coal,Gas,Hydro,Renewables,Solar,Oil,Wind,Nuclear
1985,1139.320702,222.8931318,502.9945407,10.96141274,0.001010101,271.6322234,0.0574,695.5217842000001
1986,1175.15178,229.2425664,486.0931835,13.01880956,0.001010101,266.0630094,0.1336,738.8383337
1987,1191.951896,239.9251728,529.5056594,12.87530129,0.0,265.7160131,0.1908,768.9284987999999
1988,1173.293742,238.7699849,567.4690013999999,13.678099800000002,0.001010101,249.5818964,0.3297,846.2282843
1989,1209.909902,263.9655073,493.8059307,13.53727589,0.009090909,280.627107,0.5154,886.8244254000001
1990,1218.468435,255.1455154,502.4571504,18.95285263,0.0125,281.0926815,0.779460415,894.4116842
1991,1209.139825,253.8462392,513.0917745,19.549433,0.0155,277.872012,0.980027988,917.7954737
1992,1158.96842,245.0076766,529.6566497,20.709603,0.027088,270.2348559,1.53504808,924.2205789
1993,1092.038483,267.4514514,550.4667647000001,22.879095,0.0323829999999999,240.4873435,2.284826092,960.6898947
1994,1090.62825,295.151517,557.1966285,24.01789971,0.0376885,232.1675157,2.979235703,952.1283158
1995,1093.770026,319.6645034,564.8899094,26.49863146,0.04684,248.3699447,3.863029201,976.9412105
1996,1093.686439,365.2735183,548.0862941,26.68019984,0.0538114109999999,239.2079134,4.828585245,1032.181474
1997,1051.356609,415.818186,567.6789719999999,31.66351939,0.063926244,226.6651766,7.295492956,1042.499947
1998,1054.519343,447.1679512,593.9041617,36.11504184,0.0870885,232.0922981,11.17647914,1033.895566
1999,1018.20035,522.8253071,598.1808529,38.09960017,0.091198056,215.5342287,14.24432177,1040.453262
2000,1073.284897,557.2271959,617.6635200000001,42.33124829999999,0.13447325,192.9693094,22.4547142,1048.820605
2001,1088.293701,577.5346017999999,612.0409616000001,44.95466864,0.1702025,188.5772789,26.93428666,1082.005867
2002,1090.231091,612.939928,563.9424433999999,50.65633618,0.276755006,203.960105,36.42594931,1095.4551720000002
2003,1151.561867,670.7788350999999,529.5685025,57.9809708,0.4686977439999999,182.7334506,44.53115229,1104.809786
2004,1123.565783,720.2987302,570.1533941,68.80114151,0.751097873,162.32090119999998,59.29678686,1122.65995
2005,1115.056553,779.0545965,571.7251909,78.67317876,1.486383246,156.0731457,71.09674937,1110.194654
2006,1158.472066,791.9622389,561.9088763999999,89.27725775,2.524087814,143.9048193,83.16413988,1108.070743
2007,1174.032553,860.1201751,563.9636046,99.46983003,3.815704819,124.662918,105.7131938,1055.812656
2008,1095.9676869999998,912.0143579,593.0331391,110.04474109999998,7.501071132000001,119.2792461,121.3539015,1055.097976
2009,1004.344014,847.5087377999998,589.7448745,120.7465527,14.19283506,108.5101648,135.3832286,1004.692726
2010,1016.073039,886.1177605,649.8001667999999,136.89093830000002,23.26343602,92.57099413,153.4434969,1032.048072
2011,1062.391115,831.9870758999999,569.648632,146.1651356,46.71354931,77.47140956,186.6574032,1024.165609
2012,1116.990009,708.2667671,625.8061066,161.99377130000002,71.86993816,75.74920377,214.8374201,998.3669089
2013,1088.457867,632.5890102000001,661.6366665,171.7380753,86.93511679999999,65.5223045,248.09391180000003,986.4854372
2014,1016.207491,595.3305935,644.059662,183.5229332,98.83569401,62.62680969,264.813831,992.7019247000002
2015,992.5007075,611.046309,635.8995302999999,196.6572063,109.883454,66.05670585,318.8069569,968.2678974
2016,924.0170725,714.2134815000001,651.4348399,201.5577094,113.952463,65.26859382,322.9244416,942.170014
2017,890.3837445,785.9671344999999,584.7782318,208.2711957,124.47469440000002,61.88201771,383.9344918,936.1229454
2018,856.6391874,729.8922554999999,645.2554448,215.0079387,138.55657,56.0763953,402.7751069,935.8100693
2019,698.6264797,768.1110967,632.5383017000001,220.335262,154.66345869999998,51.78583727,461.5876104,928.4674725
