NUTS_BN_CODE,NUTS_CODE
5528,EE004
5528,EE008
5529,SE231
5529,SE232
5530,SE21
5530,SE211
5530,SE23
5530,SE232
5531,SE1
5531,SE12
5531,SE123
5531,SE2
5531,SE23
5531,SE232
5532,EE007
5532,EE008
5533,SE122
5533,SE123
5534,EE006
5534,EE008
5535,EE004
5535,EE006
5536,EE006
5536,EE007
5537,EE001
5537,EE004
5538,EE001
5538,EE006
5539,NO041
5539,NO042
5540,NO
5540,NO0
5540,NO03
5540,NO031
5540,SE
5540,SE2
5540,SE23
5540,SE232
5541,NO042
5541,NO043
5542,NO041
5542,NO043
5543,NO04
5543,NO043
5543,NO05
5543,NO051
5544,SE123
5544,SE124
5545,SE1
5545,SE12
5545,SE124
5545,SE2
5545,SE23
5545,SE232
5546,SE122
5546,SE124
5547,NO011
5547,NO012
5548,SE11
5548,SE110
5548,SE12
5548,SE122
5549,NO03
5549,NO034
5549,NO04
5549,NO041
5550,NO033
5550,NO034
5551,NO03
5551,NO034
5551,NO04
5551,NO043
5552,SE122
5552,SE125
5553,SE124
5553,SE125
5555,NO01
5555,NO012
5555,NO03
5555,NO031
5556,NO011
5556,NO012
5557,SE121
5557,SE122
5558,SE11
5558,SE110
5558,SE12
5558,SE121
5559,SE121
5559,SE125
5560,NO04
5560,NO043
5560,NO05
5560,NO051
5561,NO03
5561,NO034
5561,NO05
5561,NO051
5562,SE2
5562,SE23
5562,SE232
5562,SE3
5562,SE31
5562,SE311
5563,NO
5563,NO0
5563,NO03
5563,NO031
5563,SE
5563,SE3
5563,SE31
5563,SE311
5564,SE1
5564,SE12
5564,SE124
5564,SE3
5564,SE31
5564,SE311
5565,NO
5565,NO0
5565,NO01
5565,NO012
5565,SE
5565,SE3
5565,SE31
5565,SE311
5566,NO032
5566,NO033
5567,NO01
5567,NO012
5567,NO03
5567,NO032
5568,NO01
5568,NO011
5568,NO03
5568,NO032
5569,NO032
5569,NO034
5570,NO03
5570,NO032
5570,NO05
5570,NO051
5571,FI1B
5571,FI1B1
5571,FI1C
5571,FI1C1
5572,FI1B
5572,FI1B1
5572,FI1C
5572,FI1C4
5573,FI1B
5573,FI1B1
5573,FI1C
5573,FI1C2
5574,FI1C1
5574,FI1C2
5575,FI1B
5575,FI1B1
5575,FI1C
5575,FI1C3
5576,FI1C3
5576,FI1C4
5577,FI1C2
5577,FI1C3
5578,FI1C4
5578,FI1C5
5579,NO051
5579,NO052
5580,NO03
5580,NO032
5580,NO05
5580,NO052
5581,SE1
5581,SE12
5581,SE124
5581,SE3
5581,SE31
5581,SE312
5582,SE1
5582,SE12
5582,SE125
5582,SE3
5582,SE31
5582,SE312
5583,SE311
5583,SE312
5584,FI19
5584,FI196
5584,FI1C
5584,FI1C1
5585,SE1
5585,SE12
5585,SE121
5585,SE3
5585,SE31
5585,SE313
5586,SE312
5586,SE313
5587,NO01
5587,NO011
5587,NO02
5587,NO022
5588,NO01
5588,NO012
5588,NO02
5588,NO022
5589,NO02
5589,NO022
5589,NO03
5589,NO032
5590,NO02
5590,NO022
5590,NO05
5590,NO052
5591,FI19
5591,FI197
5591,FI1C
5591,FI1C1
5592,FI19
5592,FI197
5592,FI1C
5592,FI1C2
5593,FI19
5593,FI197
5593,FI1C
5593,FI1C3
5594,FI196
5594,FI197
5595,FI1C
5595,FI1C4
5595,FI1D
5595,FI1D1
5596,FI1C
5596,FI1C3
5596,FI1D
5596,FI1D1
5597,FI1C
5597,FI1C5
5597,FI1D
5597,FI1D1
5598,NO01
5598,NO012
5598,NO02
5598,NO021
5599,NO
5599,NO0
5599,NO02
5599,NO021
5599,SE
5599,SE3
5599,SE31
5599,SE311
5600,NO
5600,NO0
5600,NO02
5600,NO021
5600,SE
5600,SE3
5600,SE31
5600,SE312
5601,NO021
