NUTS_CODE,NUTS_BN_CODE
FRA40,1
FRA4,1
FRA,1
FR,1
FRA10,10
FRA1,10
FRA,10
FR,10
EL422,100
EL42,100
EL4,100
EL,100
PT11C,1001
PT11D,1001
ES416,1002
ES424,1002
ES41,1002
ES42,1002
TR811,1003
TR812,1003
EL511,1004
EL513,1004
ITG29,1005
ITG2,1005
ITG,1005
IT,1005
BG425,1006
EL512,1006
BG42,1006
EL51,1006
BG4,1006
EL5,1006
BG,1006
EL,1006
TR904,1007
TR905,1007
TR823,1008
TR833,1008
TR82,1008
TR83,1008
BG425,1009
EL511,1009
BG42,1009
EL51,1009
BG4,1009
EL5,1009
BG,1009
EL,1009
EL422,101
EL42,101
EL4,101
EL,101
TR211,1010
TR212,1010
ES417,1011
ES424,1011
ES41,1011
ES42,1011
TR821,1013
TR833,1013
TR82,1013
TR83,1013
TR904,1015
TR90,1015
TR9,1015
TR,1015
ITF31,1018
ITI44,1018
ITF3,1018
ITI4,1018
ITF,1018
ITI,1018
EL653,102
EL65,102
EL6,102
EL,102
EL523,1020
EL526,1020
EL526,1021
MK004,1021
EL52,1021
MK00,1021
EL5,1021
MK0,1021
EL,1021
MK,1021
EL523,1022
MK004,1022
EL52,1022
MK00,1022
EL5,1022
MK0,1022
EL,1022
MK,1022
BG425,1024
EL513,1024
BG42,1024
EL51,1024
BG4,1024
EL5,1024
BG,1024
EL,1024
PT11A,1025
PT11C,1025
ES242,1026
ES243,1026
EL512,1027
EL514,1027
EL514,1028
EL526,1028
EL51,1028
EL52,1028
ITF31,1029
ITF32,1029
ES612,103
ES61,103
ES6,103
ES,103
BG424,1031
EL512,1031
BG42,1031
EL51,1031
BG4,1031
EL5,1031
BG,1031
EL,1031
BG413,1032
EL526,1032
BG41,1032
EL52,1032
BG4,1032
EL5,1032
BG,1032
EL,1032
ES243,1033
ES513,1033
ES24,1033
ES51,1033
ES2,1033
ES5,1033
PT119,1035
PT11D,1035
PT119,1036
PT11A,1036
ITI44,1037
ITI4,1037
ITI,1037
IT,1037
ITF48,1038
ITF4,1038
ITF,1038
IT,1038
TR905,1039
TRA24,1039
TR90,1039
TRA2,1039
TR9,1039
TRA,1039
EL422,104
EL42,104
EL4,104
EL,104
PT11D,1041
PT11E,1041
ITF46,1042
ITF48,1042
ITF22,1043
ITF31,1043
ITF2,1043
ITF3,1043
ITF32,1044
ITF46,1044
ITF3,1044
ITF4,1044
ITF31,1045
ITI45,1045
ITF3,1045
ITI4,1045
ITF,1045
ITI,1045
PT112,1046
PT11A,1046
PT11A,1047
PT11,1047
PT1,1047
PT,1047
TR622,105
TR62,105
TR6,105
TR,105
PT119,1050
PT11C,1050
ITF22,1051
ITF32,1051
ITF2,1051
ITF3,1051
ITF21,1054
ITF31,1054
ITF2,1054
ITF3,1054
BG413,1055
MK004,1055
BG41,1055
MK00,1055
BG4,1055
MK0,1055
BG,1055
MK,1055
TR905,1056
TR90,1056
TR9,1056
TR,1056
TR905,1057
TR90,1057
TR9,1057
TR,1057
BG413,1059
EL514,1059
BG41,1059
EL51,1059
BG4,1059
EL5,1059
BG,1059
EL,1059
TRC13,106
TRC1,106
TRC,106
TR,106
PT11B,1061
PT11D,1061
TR100,1062
TR10,1062
TR1,1062
TR,1062
MK001,1063
MK004,1063
TR100,1064
TR211,1064
TR10,1064
TR21,1064
TR1,1064
TR2,1064
BG424,1066
EL514,1066
BG42,1066
EL51,1066
BG4,1066
EL5,1066
BG,1066
EL,1066
ES511,1067
ES514,1067
TR812,1068
TR821,1068
TR81,1068
TR82,1068
TR631,107
TR63,107
TR6,107
TR,107
TR211,1070
TR21,1070
TR2,1070
TR,1070
ES513,1071
ES514,1071
TR812,1072
TR813,1072
ES416,1073
ES417,1073
TR211,1074
