,NUTS-2,NUTS-2 name,Type of coal,Jobs,Unnamed: 4,Risk rate,Risk zone
0,RO42,Vest,Hard coal,,4 442,20.0,High
1,SK02,Západné Slovensko,Lignite,,2 190,20.0,High
2,ES12,Principado de Asturias,Hard coal,,1 313,18.5,High
3,CZ08,Moravskoslezsko,Hard coal,,10 131,18.0,High
4,DEA3,Münster,Hard coal,,9 640,18.0,High
5,ITG2,Sardegna,Hard coal,,348,17.0,High
6,PL22,Śląskie,Hard coal,,79 548,17.0,High
7,SI03,Vzhodna Slovenija,Lignite,,1 274,17.0,High
8,UKE3,South Yorkshire,Hard coal,,34,17.0,High
9,ES41,Castilla y León,Hard coal,,394,16.5,Medium
10,BG41,Yugozapaden,Brown coal,,991,16.0,Medium
11,PL21,Małopolskie,Hard coal,,4 644,16.0,Medium
12,RO41,Sud-Vest Oltenia,Lignite,,10 600,16.0,Medium
13,ES42,Castilla-La Mancha,Hard coal,,219,16.0,Medium
14,UKE2,North Yorkshire,Hard coal,,333,16.0,Medium
15,UKF1,Derbyshire and,Hard coal,,80,16.0,Medium
16,,Nottinghamshire,,,,,
17,CZ04,Severozápad,Lignite,,7 869,15.5,Medium
18,DE40,Brandenburg,Lignite,,3 402,15.0,Medium
19,PL31,Lubelskie,Hard coal,,5 769,15.0,Medium
20,BG34,Yugoiztochen,Lignite,,10 773,14.0,Medium
21,DED2,Dresden,Lignite,,2 783,14.0,Medium
22,DEE0,Sachsen-Anhalt,Lignite,,904,14.0,Medium
23,DED5,Leipzig,Lignite,,1 004,14.0,Medium
24,PL41,Wielkopolskie,Lignite,,2 079,14.0,Medium
25,ES24,Aragón,Hard coal,,1 422,14.0,Medium
26,PL11,Łódzkie,Lignite,,6 388,13.5,Low
27,DEA2,Köln,Lignite,,4 420,13.0,Low
28,EL53,Dytiki Makedonia,Lignite,,4 283,13.0,Low
29,EL65,Peloponnisos,Lignite,,636,13.0,Low
30,UKL1,West Wales and The,Hard coal,,367,13.0,Low
31,,Valleys,,,,,
32,UKC2,Northumberland and,Hard coal,,723,12.5,Low
33,,Tyne and Wear,,,,,
34,HU31,Észak-Magyarország,Lignite,,1 655,12.0,Low
35,PL51,Dolnośląskie,Lignite,,1 108,12.0,Low
36,UKM3,South Western Scotland,Hard coal,,241,12.0,Low
37,UKL2,East Wales,Hard coal,,184,12.0,Low
38,DEA1,Düsseldorf,Lignite,,2 578,11.0,Low
