tunit_code,tunit_name,y_2014
AT11,Burgenland (AT),487320
AT12,Niederosterreich,2807950
AT13,Wien,3211003
AT21,Karnten,987381
AT22,Steiermark,2263313
AT31,Oberosterreich,2646911
AT32,Salzburg,1106533
AT33,Tirol,1480864
AT34,Vorarlberg,719755
BE10,Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,3075919
BE21,Prov. Antwerpen,6780390
BE22,Prov. Limburg (BE),2729138
BE23,Prov. Oost-Vlaanderen,4973812
BE24,Prov. Vlaams-Brabant,3304595
BE25,Prov. West-Vlaanderen,4136396
BE31,Prov. Brabant Wallon,1132918
BE32,Prov. Hainaut,3961735
BE33,Prov. Liege,3255176
BE34,Prov. Luxembourg (BE),645208
BE35,Prov. Namur,1034183
BG31,Severozapaden,1451851
BG32,Severen tsentralen,2334790
BG33,Severoiztochen,2602792
BG34,Yugoiztochen,2859987
BG41,Yugozapaden,5845374
BG42,Yuzhen tsentralen,2780185
CH01,Region lemanique,3572209
CH02,Espace Mittelland,3982106
CH03,Nordwestschweiz,2391906
CH04,Zurich,3557371
CH05,Ostschweiz,2455873
CH06,Zentralschweiz,1643363
CH07,Ticino,719791
CY00,Kypros,675335
CZ01,Praha,1759555
CZ02,Stredni Cechy,1292907
CZ03,Jihozapad,1295688
CZ04,Severozapad,1081467
CZ05,Severovychod,1616801
CZ06,Jihovychod,2129809
CZ07,Stredni Morava,1321070
CZ08,Moravskoslezsko,1271571
DE11,Stuttgart,7375276
DE12,Karlsruhe,5570877
DE13,Freiburg,4240502
DE14,Tubingen,3388349
DE21,Oberbayern,9348018
DE22,Niederbayern,2318163
DE23,Oberpfalz,2001343
DE24,Oberfranken,1962378
DE25,Mittelfranken,3329067
DE26,Unterfranken,2580225
DE27,Schwaben,3557348
DE30,Berlin,5685325
DE40,Brandenburg,4248016
DE50,Bremen,1446041
DE60,Hamburg,3087601
DE71,Darmstadt,8110668
DE72,Giessen,1985145
DE73,Kassel,2202956
DE80,Mecklenburg-Vorpommern,2540119
DE91,Braunschweig,2531539
DE92,Hannover,4138503
DE93,Luneburg,3220274
DE94,Weser-Ems,4776170
DEA1,Dusseldorf,10659993
DEA2,Koln,8495440
DEA3,Munster,4970409
DEA4,Detmold,4339896
DEA5,Arnsberg,7034130
DEB1,Koblenz,2695477
DEB2,Trier,921613
DEB3,Rheinhessen-Pfalz,3858829
DEC0,Saarland,1824604
DED2,Dresden,2809808
DED4,Chemnitz,2503115
DED5,Leipzig,1834382
DEE0,Sachsen-Anhalt,4052551
DEF0,Schleswig-Holstein,5246267
DEG0,Thuringen,3636336
DK01,Hovedstaden,3503450
DK02,Sjaelland,1352713
DK03,Syddanmark,1965683
DK04,Midtjylland,2324232
DK05,Nordjylland,886863
EE00,Eesti,12506210
EL30,Attiki,8986017
EL41,Boreio Aigaio,221809
EL42,Notio Aigaio,542979
EL43,Kriti,906346
EL51,"Anatoliki Makedonia, Thraki",945404
EL52,Kentriki Makedonia,3626796
EL53,Ditiki Makedonia,428204
EL54, ,573364
EL61, ,1275413
EL62, ,327864
EL63,Ditiki Ellada,1067978
EL64,Sterea Ellada,951243
EL65,Peloponnisos,1148936
ES11,Galicia,3609515
ES12,Principado de Asturias,1381989
ES13,Cantabria,958957
ES21,Pais Vasco,3967625
ES22,Comunidad Foral de Navarra,1234849
ES23,La Rioja,548295
ES24,Aragon,2251605
ES30,Comunidad de Madrid,8729225
ES41,Castilla Y Leon,4007292
ES42,Castilla-La Mancha,3216354
ES51,Cataluna,12717420
ES52,Comunidad Valenciana,7416767
ES53,Illes Balears,885596
ES61,Andalucia,9930666
ES62, ,2263113
ES63,Ciudad Autonoma de Ceuta,29745
ES64,Ciudad Autonoma de Melilla,13688
ES70, ,1768981
FI19, ,3409992
FI1B, ,4509611
FI1C,Etela-Suomi,2917227
FI1D,Pohjois- Ja Ita-Suomi,2805546
FI20,Aland,57583
FR10,Ile de France,18988882
FR21,Champagne-Ardenne,1916472
FR22,Picardie,2683256
FR23,Haute-Normandie,2672306
FR24,Centre,3585631
FR25,Basse-Normandie,2128391
FR26,Bourgogne,2453334
FR30,Nord - Pas-de-Calais,5674740
FR41,Lorraine,3223022
FR42,Alsace,2721720
FR43,Franche-Comte,1615835
FR51,Pays de la Loire,5321123
FR52,Bretagne,4711788
FR53,Poitou-Charentes,2460742
FR61,Aquitaine,5042126
FR62,Midi-Pyrenees,4350329
FR63,Limousin,995206
