,tunit_code,tunit_name,y_2006,y_2014,dif
3,AT11,Burgenland (AT),591935,487320,-104615
4,AT12,Niederosterreich,4827119,2807950,-2019169
5,AT13,Wien,4040276,3211003,-829273
6,AT21,Karnten,1385794,987381,-398413
7,AT22,Steiermark,3423357,2263313,-1160044
8,AT31,Oberosterreich,4354821,2646911,-1707910
9,AT32,Salzburg,1348808,1106533,-242275
10,AT33,Tirol,1605523,1480864,-124659
11,AT34,Vorarlberg,1181584,719755,-461829
15,BE10,Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,4363750,3075919,-1287831
16,BE21,Prov. Antwerpen,5488312,6780390,1292078
17,BE22,Prov. Limburg (BE),2081840,2729138,647298
18,BE23,Prov. Oost-Vlaanderen,4947939,4973812,25873
19,BE24,Prov. Vlaams-Brabant,2978200,3304595,326395
20,BE25,Prov. West-Vlaanderen,3484459,4136396,651937
21,BE31,Prov. Brabant Wallon,1008468,1132918,124450
22,BE32,Prov. Hainaut,3891873,3961735,69862
23,BE33,Prov. Liege,3549042,3255176,-293866
24,BE34,Prov. Luxembourg (BE),781337,645208,-136129
25,BE35,Prov. Namur,1414929,1034183,-380746
26,BG31,Severozapaden,2738836,1451851,-1286985
27,BG32,Severen tsentralen,1856697,2334790,478093
28,BG33,Severoiztochen,1454954,2602792,1147838
29,BG34,Yugoiztochen,2198352,2859987,661635
30,BG41,Yugozapaden,2518837,5845374,3326537
31,BG42,Yuzhen tsentralen,3602781,2780185,-822596
32,CH01,Region lemanique,2242448,3572209,1329761
33,CH02,Espace Mittelland,3622526,3982106,359580
34,CH03,Nordwestschweiz,2528544,2391906,-136638
35,CH04,Zurich,1965038,3557371,1592333
36,CH05,Ostschweiz,2581097,2455873,-125224
37,CH06,Zentralschweiz,1535576,1643363,107787
38,CH07,Ticino,682621,719791,37170
39,CY00,Kypros,889940,675335,-214605
40,CZ01,Praha,1127213,1759555,632342
41,CZ02,Stredni Cechy,1210286,1292907,82621
42,CZ03,Jihozapad,1472034,1295688,-176346
43,CZ04,Severozapad,1814481,1081467,-733014
44,CZ05,Severovychod,2109513,1616801,-492712
45,CZ06,Jihovychod,1715609,2129809,414200
46,CZ07,Stredni Morava,1442255,1321070,-121185
47,CZ08,Moravskoslezsko,2172172,1271571,-900601
48,DE11,Stuttgart,6129829,7375276,1245447
49,DE12,Karlsruhe,4516817,5570877,1054060
50,DE13,Freiburg,3419623,4240502,820879
51,DE14,Tubingen,2776767,3388349,611582
52,DE21,Oberbayern,3469779,9348018,5878239
53,DE22,Niederbayern,2364663,2318163,-46500
54,DE23,Oberpfalz,1817839,2001343,183504
55,DE24,Oberfranken,1996326,1962378,-33948
56,DE25,Mittelfranken,2034832,3329067,1294235
57,DE26,Unterfranken,2609222,2580225,-28997
58,DE27,Schwaben,3410395,3557348,146953
59,DE30,Berlin,3033504,5685325,2651821
60,DE40,Brandenburg,3311728,4248016,936288
61,DE50,Bremen,1237323,1446041,208718
62,DE60,Hamburg,2027480,3087601,1060121
63,DE71,Darmstadt,5061193,8110668,3049475
64,DE72,Giessen,1543964,1985145,441181
65,DE73,Kassel,1735834,2202956,467122
66,DE80,Mecklenburg-Vorpommern,1552152,2540119,987967
67,DE91,Braunschweig,2973277,2531539,-441738
68,DE92,Hannover,3860226,4138503,278277
69,DE93,Luneburg,2512389,3220274,707885
70,DE94,Weser-Ems,4208944,4776170,567226
71,DEA1,Dusseldorf,9095457,10659993,1564536
72,DEA2,Koln,6800258,8495440,1695182
73,DEA3,Munster,4119434,4970409,850975
74,DEA4,Detmold,3902952,4339896,436944
75,DEA5,Arnsberg,7335673,7034130,-301543
76,DEB1,Koblenz,2693545,2695477,1932
77,DEB2,Trier,884978,921613,36635
78,DEB3,Rheinhessen-Pfalz,3531917,3858829,326912
79,DEC0,Saarland,2221453,1824604,-396849
80,DED2,Dresden,1672384,2809808,1137424
81,DED4,Chemnitz,2087198,2503115,415917
82,DED5,Leipzig,1377006,1834382,457376
83,DEE0,Sachsen-Anhalt,3625788,4052551,426763
84,DEF0,Schleswig-Holstein,4326356,5246267,919911
85,DEG0,Thuringen,2913842,3636336,722494
86,DK01,Hovedstaden,1999864,3503450,1503586
87,DK02,Sjaelland,1258765,1352713,93948
88,DK03,Syddanmark,2499986,1965683,-534303
89,DK04,Midtjylland,2030619,2324232,293613
90,DK05,Nordjylland,1148781,886863,-261918
91,EE00,Eesti,11563749,12506210,942461
92,EL30,Attiki,7531807,8986017,1454210
93,EL41,Boreio Aigaio,1023432,221809,-801623
94,EL42,Notio Aigaio,2140394,542979,-1597415
95,EL43,Kriti,1477278,906346,-570932
96,EL51,"Anatoliki Makedonia, Thraki",1099000,945404,-153596
97,EL52,Kentriki Makedonia,3166659,3626796,460137
98,EL53,Ditiki Makedonia,4687060,428204,-4258856
99,EL54, ,529151,573364,44213
100,EL61, ,1196481,1275413,78932
101,EL62, ,1839798,327864,-1511934
102,EL63,Ditiki Ellada,2034015,1067978,-966037
